|   affiliation_no | name_of_institution                                    | state       | district          | postal_address                                                                                                                 |   pin_code | website                                            |   year_of_foundation | date_of_first_opening_of_school   | head_of_institution         | status_of_the_school   | school_type   | affiliation_period_start   | affiliation_period_end   | remarks   |
|          1130865 | RAHUL INTERNATIONAL SCHOOL                             | MAHARASHTRA | THANE             | KANAKIA PARK, NEAR SHREE L R TIWARI ENGINEERING COLLEGE OF ENGINEERING, MIRA ROAD (EAST)                                       |     401107 | http://rahulinternational.org                      |                 2018 | 2018-04-05                        | MR. YIGAL S BANKER          | Middle Class           | INDEPENDENT   | 2019-04-01                 | 2022-03-31               |           |
|          1131476 | ST. XAVIER'S SCHOOL                                    | MAHARASHTRA | PUNE              | SURVEY NO. 39,, GULTEKDI, SHANKAR SHETH ROAD                                                                                   |     411037 | https://stxavierspune.com/                         |                 2023 | 2024-01-01                        | THADDEUS KOHLI              | Middle Class           | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          1420051 | ASSAM RIFLES PUBLIC SCHOOL, PHEK (NAGALAND)            | NAGALAND    | PHEK              | ASSAM RIFLES CAMP GATE 1, ASSAM RIFLES CAMP GATE 1, ASSAM RIFLES CAMP GATE 1                                                   |     797108 | https://www.arps.phek.com                          |                 1978 | 2000-01-01                        | ARLEEN KAUR                 | Middle Class           | GOVT          | 2025-04-01                 | 2030-03-31               |           |
|          1520501 | EKLAVYA MODEL RESIDENTIAL SCHOOL (EMRS) KAPTIPADA      | ODISHA      | MAYURBHANJ        | AT-BELDIHA, BLOCK-KAPTIPADA, NEAR UDALA                                                                                        |     757040 | https://www.emrskaptipada.com                      |                 2024 | 2024-01-01                        | PANDIT ALEXANDER KHAN KHANA | Middle Class           | GOVT          | 2026-04-01                 | 2031-03-31               |           |
|          1930785 | GLOBAL PUBLIC SCHOOL-CBSE                              | TAMIL NADU  | VELLORE           | 130/1A, BENGALURU-CHENNAI HIGHWAY, OPP. TO GREEN THUNDER, VEPPUR (NEAR ARCOT), VELLORE-632503.                                 |     632503 | http://www.gpscbse.com                             |                 2015 | 2015-07-19                        | LISY MENON                  | Middle Class           | INDEPENDENT   | 2017-04-01                 | 2020-03-31               |           |
|          1930851 | ST. JOSEPH INTERNATIONAL SCHOOL                        | TAMIL NADU  | CHENNAI           | MOTHER VIRGIN GARDEN, KODIKOTTAI, RAMESHWARAM (ROAD), MAVIDUTHIKOTTAI (POST), DEVAKOTTAI (VAI), SIVAGANGAI (DISTRICT) – 630303 |     630303 | http://www.sjiskkt.in                              |                 2016 | 2016-07-06                        | MISS GRACY MARY             | Middle Class           | INDEPENDENT   | 2018-04-01                 | 2021-03-31               |           |
|          1931297 | VIJAY VIDYA MANDIR                                     | TAMIL NADU  | TIRUVANNAMALAI    | MALLAVADI VILLAGE TIRUVANNAMALAI TALUK TIRUVANNAMALAI DISTRICT - 606 805.                                                      |     606805 | vvmcbseschool.com                                  |                 2019 | 2020-01-04                        | MR. N. USHA                 | Middle Class           | INDEPENDENT   | 2021-04-01                 | 2024-03-31               |           |
|          2400002 | PM SHRI KENDRIYA VIDYALAYA NO.1                        | WEST BENGAL | NORTH 24-PARGANA  | E B BLOCK SECTOR-1 SALT LAKE KOLKATA, WEST BENGAL                                                                              |     700064 |                                                    |                 1977 | 2006-06-24                        | SABIHA SHAHIN               | Senior Secondary Level | KV            | 2026-04-01                 | 2031-03-31               |           |
|          2400010 | PM SHRI KENDRIYA VIDYALAYA NO 1                        | WEST BENGAL | DARJEELING        | BENGDUBI DARJEELING DISTT WEST BENGAL                                                                                          |     734424 | https://bengdubi.kvs.ac.in                         |                 1972 | 1991-04-01                        | VIKASH MAAN                 | Senior Secondary Level | KV            | 2022-04-01                 | 2030-03-31               |           |
|          2400013 | PM SHRI KENDRIYA VIDYALAYA                             | WEST BENGAL | DARJEELING        | SUKNA PO SUKNA DARJEELING DISTT WEST BENGAL                                                                                    |     734009 | https://sukna.kvs.ac.in                            |                 1977 | 1991-04-01                        | MD. MOFIZUDDIN ANSARI       | Senior Secondary Level | KV            | 2026-04-01                 | 2031-03-31               |           |
|          2400015 | PM SHRI KENDRIYA VIDYALAYA NO 1                        | WEST BENGAL | NORTH 24-PARGANA  | KANCHRAPARA P O KAMPA 24 PARGANAS (N) DISTT WEST BENGAL                                                                        |     743193 | https://www.kvnehu.org                             |                 1978 | 2006-06-24                        | P DESHMUKH                  | Senior Secondary Level | KV            | 2025-04-01                 | 2030-03-31               |           |
|          2400024 | PM SHRI KENDRIYA VIDYALAYA                             | WEST BENGAL | DARJEELING        | A F S BAGDOGRA P O BAGDOGRA AIRPORT DISTT DARJEELING WEST BENGAL                                                               |     734421 |                                                    |                 1991 | 1991-04-01                        | MANJU BALA                  | Senior Secondary Level | KV            | 2022-04-01                 | 2027-03-31               |           |
|          2400038 | PM SHRI KENDRIYA VIDYALAYA                             | WEST BENGAL | HOWRAH            | BEMANGACHI P O SALKIA HAWRAH WEST BENGAL                                                                                       |     711106 | https://bamangachi.kvs.ac.in                       |                 1987 | 2006-06-24                        | SAMSHER KUMAR SINGH         | Senior Secondary Level | KV            | 2023-04-01                 | 2028-03-31               |           |
|          2400048 | PM SHRI KENDRIYA VIDYALAYA                             | WEST BENGAL | HOWRAH            | SANTRAGACHI P O GIP COLONY HOWRAH WEST BENGAL                                                                                  |     711321 | http://www.kvnehu.org                              |                 1995 | 2005-04-01                        | SUJIT PAUL TIRKEY           | Senior Secondary Level | INDEPENDENT   | 2026-04-01                 | 2031-03-31               |           |
|          2400055 | KENDRIYA VIDYALAYA                                     | WEST BENGAL | HOOGHLY           | MUNICIPALITY, GUEST HOUSE, PO TARAKESWAR,DISTT. HOOGHLY, WEST BENGAL                                                           |     712410 | https://tarkeswar.kvs.ac.in/                       |                 2009 | 2010-01-25                        | ANAND CHANDRA DAYAL         | Senior Secondary Level | KV            | 2022-04-01                 | 2027-03-31               |           |
|          2400061 | KENDRIYA VIDYALAYA, RAMBI                              | WEST BENGAL | DARJEELING        | NHPC, TLDP-III, P.O. REANG, VIA-SILIGURI DIST. DARJEELING 734321                                                               |     734321 | https://nhpcrambi.kvs.ac.in/                       |                 1991 | 2007-04-01                        | SURENDRA KUMAR SINGH        | Secondary Level        | KV            | 2021-04-01                 | 2026-03-31               |           |
|          2400100 | KENDRIYA VIDYALAYA BANDEL RAILWAY COLONY               | WEST BENGAL | HOOGHLY           | KENDRIYA VIDYALAYA BANDEL,BUILDING NO. -5 AAMBAGAN COLONY, BANDEL                                                              |     712123 | www.bandel.kvs.ac.in                               |                 2017 | 2017-01-01                        | CHANDRA SHEKHAR SINGH       | Senior Secondary Level | KV            | 2026-04-01                 | 2031-03-31               |           |
|          2400152 | KENDRIYA VIDYALAYA GC CRPF SILIGURI                    | WEST BENGAL | DARJEELING        | KAWAKHALI, POST- SUSHRUTA NAGAR                                                                                                |     734012 | www.crpfsiliguri.kvs.ac.in                         |                 2019 | 2019-01-01                        | LAL CHANDRA                 | Secondary Level        | KV            | 2023-04-01                 | 2028-03-31               |           |
|          2430022 | PANISHEOLA INDIRA SAMRITI VIDYAPEETH                   | WEST BENGAL | HOOGHLY           | VILL & PO PANISHOOLA PS HARIPAL DISTT HOOGHLY WEST BENGAL                                                                      |     712402 |                                                    |                 1985 | 2006-04-01                        | SOMA DEB                    | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2031-03-31               |           |
|          2430025 | B.S.F. RESIDENTIAL SCHOOL                              | WEST BENGAL | DARJEELING        | KADAMTALA DARJEELING WEST BENGAL                                                                                               |     734433 | www.bsfschoolkadamtala.in                          |                 1987 | 1990-07-01                        | BHAVANA MISHRA              | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          2430037 | HINDI BALIKA SCHOOL                                    | WEST BENGAL | DARJEELING        | S.P.MUKHERJEE ROAD DISTT SILIGURI, WEST BENGAL                                                                                 |     734405 | www.hbvidyapith.in                                 |                 1989 | 2009-04-01                        | ARCHANA SHARMA              | Senior Secondary Level | INDEPENDENT   | 2023-04-01                 | 2028-03-31               |           |
|          2430064 | SILIGURI MODEL HIGH SCHOOL                             | WEST BENGAL | DARJEELING        | SILIGURI MODEL HIGH SCHOOL (SR. SEC.), BAROPATHURAM MOUZA, PO RANIDANGA BO                                                     |     734012 | www.siligurimodelhighschool.com                    |                 1997 | 2007-08-12                        | DR S S AGARWAL              | Senior Secondary Level | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430083 | DELHI PUBLIC SCHOOL                                    | WEST BENGAL | DARJEELING        | PO PRADHAN NAGAR SILIGURI WEST BENGAL                                                                                          |     734003 | www.dpssiliguri.com                                |                 2003 | 2003-01-04                        | ANISHA SHARMA               | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430160 | TECHNO INDIA GROUP PUBLIC SCHOOL                       | WEST BENGAL | HOOGHLY           | GOLOK MUNSHI HOSPITAL CAMPUS,P.O- NABAGRAM,POLICE STATION- UTTARPARA,SUB DIVISION- SRIRAMPUR,DIST- HOOGHLY, PIN- 712246        |     712246 | www.tigpskon.edu.in                                |                 2011 | 2011-04-01                        | SUJIT KUMAR JANA            | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430166 | ASIAN INTERNATIONAL SCHOOL                             | WEST BENGAL | HOWRAH            | NEW KOLORAH, NH-6, ALAMPUR, DOMJUR, HOWRAH, WEST BENGAL                                                                        |     711302 |                                                    |                 2012 | 2012-04-10                        | MS. SIMRAN SANGHERA         | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430179 | SNOWDROPS SCHOOL                                       | WEST BENGAL | DARJEELING        | KRISHNA NAGAR P.O.- MIRIK DISTT - DARJEELING WEST BENGAL PIN- 734214                                                           |     734214 | http://www.snowdropsschool.org                     |                 1998 | 1998-04-01                        | SAKILA RAI                  | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430182 | NAXALBARI HERITAGE ACADEMY                             | WEST BENGAL | DARJEELING        | STATION ROAD NAXALBARI DARJEELING                                                                                              |     734429 | www.nhacademy.education                            |                 2006 | 2007-03-05                        | PRASANTA GHATANI            | Secondary Level        | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          2430185 | VICTORIA PUBLIC SCHOOL                                 | WEST BENGAL | DARJEELING        | TARI JOTE(DEONIAMORE) VIA N.B.U, POST OFFICE NEW RANGIA, P.S. MATIGARA, DIST DARJEELING                                        |     734013 | www.victoriapublicschoolsiliguri.com               |                 1999 | 2000-01-01                        | PARTHAK DIYALI              | Senior Secondary Level | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430188 | H. M. EDUCATION CENTRE                                 | WEST BENGAL | HOOGHLY           | HINDMOTOR, HOOGHLY - 712233                                                                                                    |     712233 | https://hmeducationcentre.in/                      |                 1965 | 1965-03-01                        | SONITA ROY                  | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          2430206 | EXPLORE INTERNATIONAL SCHOOL                           | WEST BENGAL | HOOGHLY           | VILL- JAMIR BERIA, NEAR MALLICKPUR PETROL PUMP                                                                                 |     712409 | http://www.eissingur.com                           |                 2014 | 2014-01-04                        | SARITA YADAV                | Senior Secondary Level | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430212 | SWAMI VIVEKANANDA VIDYAMANDIR                          | WEST BENGAL | HOOGHLY           | VILL - PURUSHOTTAMPUR PO - MOLLASIMLA, PS - SINGUR DIST - HOOGHLY, WB - 712223                                                 |     712223 | www.svvm.co.in                                     |                 2014 | 2014-05-05                        | SURAJIT BHAKTA              | Senior Secondary Level | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430250 | SPRING DALES ACADEMY                                   | WEST BENGAL | DARJEELING        | SPRING DALES ACADEMY, PAREN, GAIRIGAON, P.O. & P.S. JALDHAKA                                                                   |     734503 | www.springdalesjaldhaka.com                        |                 1998 | 1998-02-02                        | LALITA DARNAL               | Secondary Level        | INDEPENDENT   | 2026-04-01                 | 2031-03-31               |           |
|          2430270 | NARAYANA SCHOOL RISHRA                                 | WEST BENGAL | HOOGHLY           | 100,G.T ROAD,RISHRA BAGKHAL,P.O HOOGHLY PIN;712248                                                                             |     712248 | https://www.narayanaschools.in/westbengal/rishra/  |                 2017 | 2017-10-04                        | SHARMILEE BANDYOPADHYAY     | Senior Secondary Level | INDEPENDENT   | 2023-04-01                 | 2029-03-31               |           |
|          2430298 | ST. XAVIER’S HIGH SCHOOL                               | WEST BENGAL | HOWRAH            | ST. XAVIERS HIGH SCHOOL, MASHILA PASCHIMPARA, NEW KOLORAH, ALAMPUR, HOWRAH, PIN – 711302                                       |     711302 | www.stxaviershowrah.com                            |                 2018 | 2019-04-16                        | AMRITA SHARMA               | Senior Secondary Level | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430358 | LILUAH VETERAN(ENG. MED.) SCHOOL                       | WEST BENGAL | HOWRAH            | BHATTANAGAR, LILUAH                                                                                                            |     711203 | www.veteranengmedschool.com                        |                 2010 | 2020-01-01                        | RAM NATH SAH                | Secondary Level        | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430366 | HARADHAN ADDHYA MEMORIAL SCHOOL                        | WEST BENGAL | NORTH 24-PARGANA  | NORTH 24PARGANAS, WEST BENGAL, INDIA                                                                                           |     743405 | www.hamschool@gmail.com                            |                 2018 | 2020-01-01                        | ARPITA MISHRA               | Secondary Level        | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430375 | MOTHER INTERNATIONAL SCHOOL                            | WEST BENGAL | HOOGHLY           | KONNAGAR, HOOGHLY                                                                                                              |     712235 | http://www.miskon.org                              |                 2005 | 2005-01-01                        | TANIA CHAKRAVARTY           | Secondary Level        | INDEPENDENT   | 2022-04-01                 | 2027-03-31               |           |
|          2430381 | ST THOMAS PUBLIC SCHOOL                                | WEST BENGAL | HOOGHLY           | JOYRAMBATI ROAD, HOOGHLY                                                                                                       |     722161 | http://www.stpsk.in                                |                 2018 | 2020-01-01                        | ASHUTOSH KUMAR              | Secondary Level        | INDEPENDENT   | 2023-04-01                 | 2028-03-31               |           |
|          2430382 | DAV PUBLIC SCHOOL, BARRACKPORE                         | WEST BENGAL | NORTH 24-PARGANA  | RUIYA, PATULIA, KOLKATA-700119                                                                                                 |     700119 | www.davbkp.in                                      |                 2011 | 2020-01-01                        | JEETA BHATTACHARJEE         | Senior Secondary Level | INDEPENDENT   | 2026-04-01                 | 2031-03-31               |           |
|          2430391 | DELHI PUBLIC SCHOOL, BARASAT                           | WEST BENGAL | NORTH 24-PARGANA  | PO BADU, PS DUTTAPUKUR, BARASAT                                                                                                |     700128 | www.dpsbarasat.com                                 |                 2020 | 2020-01-01                        | JOYEETA MAJUMDER            | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430392 | DARWIN INTERNATIONAL SCHOOL                            | WEST BENGAL | HOWRAH            | PS. NISCHINDA (BALLY),, HOWRAH - 711227                                                                                        |     711227 | https://www.dishowrah.co.in/                       |                 2017 | 2020-01-01                        | PUJA KOIRI                  | Senior Secondary Level | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          2430393 | DOON INTERNATIONAL SCHOOL, BASIRHAT                    | WEST BENGAL | NORTH 24-PARGANA  | VILL+PO - PIFA, NORTH 24 PARGANAS, 743422                                                                                      |     743422 | www.disbasirhat.co.in                              |                 2019 | 2020-01-01                        | PANCHANAN TRIPATHY          | Secondary Level        | INDEPENDENT   | 2023-04-01                 | 2028-03-31               |           |
|          2430412 | SRI CHAITANYA TECHNO SCHOOL                            | WEST BENGAL | HOOGHLY           | MAHESH, SERAMPORE                                                                                                              |     712202 | https://srichaitanyatechnoschoolserampore.net      |                 2021 | 2024-01-01                        | NILADRI PARUI               | Secondary Level        | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          2430415 | ACHARYA TULSI ACADEMY,ORCHIDS THE INTERNATIONAL SCHOOL | WEST BENGAL | NORTH 24-PARGANA  | MAJOR ARTERIAL ROAD(SOUTH-EAST), JODTHBH, NEWTOWN                                                                              |     700156 | https://orchidsinternationalschoolnewtown.com/     |                 2021 | 2025-01-01                        | BIDYUNMALA R SALUNKE        | Secondary Level        | INDEPENDENT   | 2024-04-01                 | 2029-03-31               |           |
|          2430421 | MOUNT LITERA ZEE SCHOOL                                | WEST BENGAL | NORTH 24-PARGANA  | NORTH KOLKATA,BARRACKPORE,MATHARANGI, NILGUNJ ROAD,NAVARANDA,SURYAPUR,KOL-121, WEST BENGAL                                     |     700121 | http://mlzsbarrackpore.com                         |                 2018 | 2020-01-01                        | NUPUR DEY SARKAR            | Secondary Level        | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430427 | PODAR INTERNATIONAL SCHOOL-HOWRAH                      | WEST BENGAL | HOWRAH            | NH6, SALAP MORE, NEAR KWIC, PO- BANKRA., DISTRICT- HOWRAH                                                                      |     711403 | www.podareducation.org/school/howrah               |                 2020 | 2020-01-01                        | SHABNAM BHOWMICK            | Secondary Level        | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430432 | HERITAGE MODEL SCHOOL                                  | WEST BENGAL | NORTH 24-PARGANA  | VILL- BARDHANBERIA, PO- BAIRAMPUR, PS- GOPALNAGAR, DIST- NORTH 24 PARGANAS                                                     |     743262 | www.heritagemodelschool.com                        |                 2019 | 2020-01-01                        | MIR AZHARUDDIN              | Secondary Level        | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430440 | MAHENDRA MEMORIAL SCHOOL                               | WEST BENGAL | NORTH 24-PARGANA  | VILLAGE - SINDRANI, POST - SINDRANI, POLICE STATION - BAGDAH                                                                   |     743297 | www.mmschool.in                                    |                 2020 | 2020-01-01                        | MOUSUMI DEBNATH DAS         | Secondary Level        | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430441 | TECHNO INDIA GROUP WORLD SCHOOL                        | WEST BENGAL | DARJEELING        | MATIGARA,, SILIGURI , WEST BENGAL                                                                                              |     734010 | https://siliguri.tigws.in/                         |                 2023 | 2025-01-01                        | NIVEDITA CHAKRABORTY        | Secondary Level        | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430445 | JDS PUBLIC SCHOOL                                      | WEST BENGAL | NORTH 24-PARGANA  | A B ROAD, PANPUR,PO - NARAYANPUR, PS - BASUDEBPUR, DIST-NORTH 24 PARGANAS, PIN-743126,WB                                       |     743126 | HTTPS://WWW.JDSSCHOOL.IN                           |                 2023 | 2025-01-01                        | HEMASREE DATTA              | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430448 | VELS GLOBAL SCHOOL                                     | WEST BENGAL | HOWRAH            | 15/1, DR. H. K. CHATTERJEE LANE, BELUR, GHUSURI, HOWRAH                                                                        |     711107 | https://velsglobalschool.ac.in                     |                 2023 | 2025-01-01                        | DEBAPRIYA MUKHOPADHYAY      | Senior Secondary Level | INDEPENDENT   | 2025-04-01                 | 2030-03-31               |           |
|          2430457 | SRI CHAITANYA TECHNO SCHOOL                            | WEST BENGAL | HOWRAH            | 15/1 DR HK CHATTRJEE STREET WARD 21 , GHUSURI, HOWRAH                                                                          |     711107 | https://srichaitanyatechnoschoolhowrah.net         |                 2023 | 2025-01-01                        | BANANI SINGH                | Secondary Level        | INDEPENDENT   | 2026-04-01                 | 2031-03-31               |           |
|          2430465 | CHURCH BELL SCHOOL                                     | WEST BENGAL | HOOGHLY           | T.N MUKHERJEE ROAD, RAGHUNATHPUR - III, P. S. DANKUNI                                                                          |     712247 | https://churchbellschool.in/                       |                 2016 | 2025-01-01                        | MEENA MITRA                 | Secondary Level        | INDEPENDENT   | 2026-04-01                 | 2031-03-31               |           |
|          2430471 | MAYOOR SCHOOL                                          | WEST BENGAL | DARJEELING        | SILIGURI, DHUKURIA, PATHARGHATA SILIGURI                                                                                       |     734010 | https://mayoorschoolsiliguri.com/                  |                 2023 | 2025-01-01                        | KULVINDER KAUR AGRAWAL      | Secondary Level        | INDEPENDENT   | 2026-04-01                 | 2031-03-31               |           |
|          2430473 | KANKINARA OXFORD ENGLISH SCHOOL                        | WEST BENGAL | NORTH 24-PARGANA  | 18/1/3, SOUTH NARAYANPUR, WARD NO. 31, PANPUR, P.O. KANKINARA, NORTH 24 PGS, PIN - 743126                                      |     743126 | https://www.kankinaraoxfordenglishschool.com       |                 2020 | 2020-01-01                        | DARPANA SHAW                | Senior Secondary Level | INDEPENDENT   | 2026-04-01                 | 2031-03-31               |           |
|          2440003 | JAWAHAR NAVODAYA VIDYALAYA                             | WEST BENGAL | NORTH 24-PARGANA  | BANIPUR HABRA DISTT NORTH 24 PARGANAS WEST BENGAL                                                                              |     743233 | https://www.navodaya.gov.in/nvs/nvs-school/NORTH24 |                 2003 | 2012-03-31                        | BIPLAB HOWLI                | Senior Secondary Level | JNV           | 2025-04-01                 | 2031-03-31               |           |
|          2440004 | JAWAHAR NAVODAYA VIDYALAYA                             | WEST BENGAL | DARJEELING        | CHHEBBISAY DARJEELING WEST BENGAL                                                                                              |     734214 | https://navodaya.gov.in/nvs/nvs-school/DARJEELING/ |                 2003 | 2014-04-30                        | JITENDRA KUMAR SINGH        | Secondary Level        | JNV           | 2023-04-01                 | 2028-03-31               |           |
